,model_type,seq_len,hidden_size,num_layers,dropout,lr,batch_size,val_mae,val_rmse
140,GRU,30,64,1,0.2,0.001,64,521.0257686491935,660.7624200102005
141,RNN,30,64,1,0.2,0.0003,32,521.5191926033266,636.6885627646896
142,LSTM,30,32,2,0.2,0.0003,32,521.5832992061491,670.8099963124378
143,RNN,30,128,2,0.2,0.0001,32,521.7379426033266,648.9153615582189
144,LSTM,30,128,2,0.2,0.0001,32,521.921394594254,694.7261786547755
145,RNN,30,32,2,0.2,0.001,32,522.0593970514113,622.1355341632649
146,RNN,30,256,1,0.2,0.001,64,522.9643948462701,631.5248545406454
147,GRU,30,32,1,0.1,0.0003,32,523.3243920110887,658.7614639555686
148,RNN,30,256,1,0.0,0.0003,64,523.5148610761089,657.0083171149563
149,LSTM,30,128,1,0.1,0.0001,32,523.7605295488911,668.7639636498534
150,GRU,30,256,1,0.0,0.0003,64,523.8393160912299,668.0701692700355
151,GRU,30,128,1,0.0,0.0003,64,524.2176474294355,673.7122600362048
152,GRU,30,128,1,0.1,0.0003,64,524.4437058971774,686.2896564711933
153,GRU,30,128,1,0.1,0.0001,64,524.4654029107863,720.1997811058789
154,RNN,30,64,2,0.1,0.0001,32,524.6933199974799,667.6762476462441
155,RNN,30,64,1,0.2,0.001,32,525.5303600680444,652.384413745834
156,GRU,30,32,2,0.2,0.0003,32,525.5428427419355,674.4580895082447
157,LSTM,30,64,1,0.1,0.0003,32,525.5789598034274,674.7481674360444
158,GRU,30,256,1,0.1,0.001,64,525.9861312373991,681.2525795160187
159,GRU,30,64,2,0.1,0.0001,32,526.5319587953629,684.0168933394768
160,GRU,30,256,1,0.2,0.0001,64,526.6489494077621,669.0406275648472
161,GRU,30,128,1,0.0,0.001,32,526.911117061492,630.6061368670684
162,GRU,30,256,2,0.1,0.001,32,527.656486265121,659.465390740123
163,GRU,30,128,1,0.1,0.001,64,527.6984311995968,659.9107800591861
164,GRU,30,256,1,0.0,0.0001,64,527.7217505670363,672.4104928376187
165,LSTM,30,256,1,0.2,0.001,32,527.784187563004,683.6372846831006
166,GRU,30,64,1,0.2,0.001,32,527.8234154485887,650.2412988342279
167,GRU,30,64,2,0.0,0.0003,64,528.0215395035282,696.066885509515
168,LSTM,30,128,2,0.0,0.0003,32,528.1959346648185,723.0821960166937
169,RNN,30,256,1,0.1,0.001,32,528.3065146169355,670.9297733328344
170,GRU,30,64,2,0.2,0.0003,64,528.4967237903226,679.7771779743179
171,LSTM,30,256,1,0.1,0.001,64,528.5155068674395,716.5981200885421
172,LSTM,30,128,2,0.2,0.001,32,528.8030100176411,704.0895523374002
173,GRU,30,32,1,0.1,0.001,32,528.8321493825605,658.9505525730876
174,GRU,30,128,2,0.0,0.0003,64,530.150619014617,704.3242956404844
175,RNN,30,256,1,0.1,0.0003,64,530.429695375504,682.3533517537519
176,GRU,30,32,1,0.2,0.0003,32,530.5579558341734,642.0955823452334
177,GRU,30,64,1,0.1,0.0001,32,530.7209157636089,695.6258388739125
178,GRU,30,64,1,0.0,0.0003,32,530.8603279359879,651.7577492679111
179,GRU,30,128,2,0.0,0.001,64,530.9898484753024,669.4671780300903
180,GRU,30,64,1,0.1,0.0003,64,531.0677687121976,669.0834217159593
181,GRU,30,32,1,0.0,0.0003,32,532.3337638608871,660.1607483083452
182,GRU,30,64,1,0.0,0.0003,64,532.5369361139113,681.1113679892968
183,RNN,30,128,2,0.0,0.0003,32,532.8155478200605,633.9328105400695
184,LSTM,30,32,1,0.2,0.0003,32,533.1940445438509,676.1357109575504
185,GRU,30,256,1,0.1,0.0001,64,533.9719474546371,679.9709681100009
186,LSTM,30,128,2,0.1,0.0001,32,534.3774807837701,727.3969306282399
187,LSTM,30,128,1,0.0,0.0003,64,534.7348160282259,715.657565242295
188,GRU,30,64,1,0.2,0.0001,32,535.4087465347782,703.2948292321007
189,LSTM,30,128,2,0.1,0.0003,32,535.6087134576613,727.3654410676385
190,LSTM,30,128,2,0.0,0.0001,32,535.8805443548387,735.6517065416032
191,RNN,30,128,1,0.2,0.0003,32,536.0853547127016,665.1662639125236
192,LSTM,30,64,1,0.2,0.0003,64,536.350814327117,701.4712274718731
193,GRU,30,32,2,0.2,0.001,64,536.4661589591734,700.7402354849049
194,RNN,30,256,2,0.0,0.001,32,536.6589119203629,671.8485941579995
195,GRU,30,64,1,0.1,0.001,32,537.0274855090726,664.8750353761548
196,RNN,30,64,2,0.2,0.001,64,537.204826108871,656.6361760728928
197,GRU,30,256,1,0.0,0.001,64,537.4094553301411,678.4776760451667
198,RNN,30,128,2,0.1,0.0001,32,537.4541330645161,679.5661758020917
199,RNN,30,128,2,0.1,0.0003,32,537.9070296748991,648.5999372454846
200,GRU,30,32,1,0.0,0.001,32,538.4081086189516,664.0449240156563
201,RNN,30,128,1,0.1,0.0001,32,538.6729854460685,681.6173328360453
202,GRU,30,32,2,0.1,0.001,64,538.9195596018145,705.5371878578238
203,RNN,30,128,2,0.0,0.0001,32,539.0789519279234,655.5974846642586
204,RNN,30,32,1,0.1,0.0003,32,539.0935846144154,675.599697669605
205,RNN,30,32,2,0.1,0.001,32,540.3593356224799,657.6567873425487
206,RNN,30,256,1,0.1,0.001,64,540.6895318800404,685.9082231164145
207,GRU,30,64,2,0.0,0.0001,32,540.981437436996,696.2303823213379
208,GRU,30,32,1,0.2,0.001,64,541.0693595640121,694.3711927967913
209,LSTM,30,32,2,0.2,0.001,32,541.2289251512096,721.10346315303
210,GRU,30,128,2,0.1,0.0001,64,541.2914251512096,722.7954362839897
211,GRU,30,64,1,0.0,0.0001,32,541.3489242061491,703.6954118892916
212,GRU,30,128,2,0.2,0.0001,64,541.641365297379,717.9282056660439
213,LSTM,30,128,1,0.1,0.0003,32,541.9546764742944,734.2693416067228
214,RNN,30,256,2,0.1,0.001,64,542.046646610383,667.0759265241784
215,LSTM,30,64,2,0.1,0.0003,32,542.2910865045363,744.486396735113
216,RNN,30,128,2,0.2,0.0001,64,542.7317209551411,690.1271783049089
217,LSTM,30,64,2,0.0,0.0003,32,542.8730074974799,722.6448946663099
218,LSTM,30,32,2,0.1,0.001,32,543.4697816910282,733.3833408905782
219,RNN,30,256,1,0.1,0.0001,32,543.605712890625,671.8547695958089
220,LSTM,30,32,1,0.1,0.001,32,543.7719962827621,710.0626164855835
221,GRU,30,128,1,0.0,0.001,64,543.8985950100806,666.6073637960886
222,GRU,30,128,1,0.2,0.0001,64,544.1966749621976,749.298392303918
223,LSTM,30,128,1,0.1,0.001,64,544.7971742691532,769.6294533621949
224,GRU,30,128,2,0.2,0.0003,64,545.1631331905241,701.512869985001
225,LSTM,30,256,1,0.1,0.0003,64,545.2497164818549,763.2173836454584
226,RNN,30,256,2,0.1,0.0003,64,545.3318816154234,735.7189539409192
227,GRU,30,32,1,0.1,0.001,64,545.4643160912299,694.9773017828994
228,LSTM,30,64,1,0.0,0.0003,64,545.7666724420363,735.112810095807
229,GRU,30,64,1,0.2,0.0003,64,546.0662644909274,704.4936146555258
230,GRU,30,32,1,0.2,0.0003,64,546.1362068422379,719.2760880840394
231,GRU,30,64,2,0.1,0.001,64,546.2727365801411,725.7189134460259
232,RNN,30,128,2,0.2,0.001,64,547.3433719758065,693.7629924422637
233,LSTM,30,128,2,0.2,0.0003,32,547.3955314390121,742.8090942623232
234,GRU,30,256,1,0.2,0.0003,64,548.117431640625,691.7783825237535
235,LSTM,30,64,2,0.2,0.0001,32,548.6786006804435,751.0979995451681
236,RNN,30,256,2,0.0,0.0001,64,548.7613722278226,727.835858656939
237,GRU,30,32,1,0.0,0.001,64,549.6762380292339,701.3121754454907
238,GRU,30,32,1,0.2,0.001,32,550.4049662928427,665.8394318185469
239,LSTM,30,64,2,0.0,0.0001,32,550.5661227318549,726.8708671498808
240,RNN,30,128,1,0.0,0.0001,32,551.4572517641129,675.1646601161017
241,RNN,30,256,1,0.0,0.0001,64,551.500960811492,734.7885980348948
242,GRU,30,64,2,0.2,0.001,64,551.6008852066532,711.3140541934974
243,RNN,30,64,2,0.1,0.001,64,552.3445139238911,691.6710711489675
244,GRU,30,64,1,0.0,0.001,64,552.5103405367944,697.9535459469417
245,RNN,30,128,1,0.1,0.001,64,553.361083984375,708.0495868090484
246,GRU,30,32,2,0.1,0.0003,64,553.4686318674395,720.9367657829933
247,LSTM,30,32,1,0.2,0.001,64,553.4874228200605,729.055364578453
248,RNN,30,64,2,0.0,0.0003,64,553.784919984879,694.1797173970481
249,RNN,30,64,2,0.0,0.0001,32,554.2369817918346,696.3262450413705
250,GRU,30,64,1,0.1,0.001,64,554.5955456149194,691.8800267676443
251,LSTM,30,256,1,0.0,0.001,64,554.7015577746976,739.5261521888567
252,LSTM,30,64,2,0.1,0.0001,32,554.982421875,749.6131276684885
253,RNN,30,256,2,0.2,0.001,32,555.3164377520161,648.3061013693192
254,RNN,30,256,2,0.0,0.001,64,555.8278572328629,667.4931734915285
255,LSTM,30,256,1,0.1,0.0001,64,555.8932632938509,775.5521197400768
256,LSTM,30,256,1,0.0,0.0003,64,556.388900264617,773.7903470174275
257,RNN,30,128,2,0.1,0.001,64,556.4350113407259,678.4042187233724
258,LSTM,30,64,2,0.2,0.0003,32,556.8264396421371,750.9960089588658
259,RNN,30,64,2,0.0,0.001,64,557.402083858367,693.3913781184989
260,RNN,30,64,1,0.1,0.0003,64,557.4704983618951,694.6514859210598
261,RNN,30,32,2,0.2,0.0003,64,557.7469049269154,705.0991944301988
262,GRU,30,64,2,0.0,0.0001,64,558.0206101940524,729.798029119274
263,GRU,30,64,2,0.2,0.0001,64,558.2031801285282,736.5467066139905
264,RNN,30,256,2,0.2,0.0001,64,558.4109831779234,737.6406575070989
265,RNN,30,64,2,0.2,0.0003,64,558.970695249496,702.0883166270355
266,GRU,30,64,1,0.2,0.0001,64,558.9735776839718,716.4310184355414
267,RNN,30,256,1,0.2,0.0003,64,558.9757276965726,735.4137680242927
268,RNN,30,64,1,0.2,0.001,64,559.382552608367,724.2815174900526
269,LSTM,30,256,1,0.2,0.001,64,560.8021279611895,758.8483654422286
270,RNN,30,64,1,0.0,0.0003,32,560.8625015751009,667.8869234356085
271,RNN,30,128,2,0.0,0.001,64,561.0759907384073,699.8372619878835
272,LSTM,30,64,1,0.1,0.001,64,561.2784699470766,757.7932343939925
273,RNN,30,32,1,0.2,0.0003,64,561.8760868195565,715.8454439362348
274,RNN,30,256,1,0.2,0.0001,64,561.9105263986895,707.4569443313887
275,LSTM,30,32,2,0.1,0.0003,32,562.2473932081654,793.1165188323095
276,RNN,30,256,1,0.0,0.001,64,562.588851436492,745.8812556641793
277,RNN,30,256,2,0.0,0.0003,64,562.6286857358871,720.7215462184982
278,RNN,30,128,2,0.0,0.0001,64,562.9828392767137,695.5592104439919
279,RNN,30,128,1,0.2,0.0003,64,564.3107358870968,728.4359394829994
280,RNN,30,32,2,0.0,0.001,64,564.38037109375,689.646414074206
281,RNN,30,64,2,0.0,0.0003,32,565.5920016381049,680.2024155863957
282,LSTM,30,256,1,0.2,0.0001,64,565.990706905242,779.917795006502
283,LSTM,30,64,1,0.1,0.0001,32,566.1285991053427,731.3825324962469
284,LSTM,30,32,1,0.1,0.001,64,566.5461189516129,743.4927345511297
285,RNN,30,32,1,0.0,0.0003,32,566.854752079133,700.604100469345
286,LSTM,30,128,1,0.2,0.0001,64,567.1380497101815,768.90869725833
287,RNN,30,32,1,0.0,0.001,64,567.5158297631049,704.3485220365545
288,RNN,30,64,1,0.1,0.0003,32,567.5706905241935,683.6307068625356
289,RNN,30,32,1,0.1,0.001,32,567.9474625126009,691.1327443767351
290,GRU,30,32,2,0.0,0.001,32,568.6274099042339,715.4329845978287
291,LSTM,30,128,1,0.2,0.0003,64,568.8235729586694,788.3997130601509
292,RNN,30,128,1,0.2,0.001,64,569.078125,742.629045120724
293,RNN,14,64,1,0.0,0.001,32,569.2595266788563,1118.8982147134386
294,RNN,30,32,2,0.1,0.001,64,569.9154170866935,712.7743463619242
295,RNN,30,256,1,0.2,0.001,32,570.3567524571573,732.0932774970023
296,RNN,30,256,2,0.0,0.0001,32,571.4056829637096,733.7135975719982
297,RNN,30,128,1,0.2,0.0001,32,571.785140498992,691.9069596110642
298,RNN,30,64,1,0.1,0.001,32,572.434326171875,696.6802652473061
299,LSTM,30,32,1,0.1,0.0003,64,572.6236060357863,751.4834359395122
300,RNN,30,128,2,0.1,0.0001,64,572.6478389616935,729.8676065059245
301,RNN,30,128,2,0.1,0.0003,64,573.3264711441532,736.584863559319
302,RNN,30,256,1,0.0,0.001,32,573.8518932711694,709.9402366910801
303,RNN,30,128,1,0.1,0.0003,64,574.2585685483871,747.8530415773483
304,RNN,30,256,1,0.1,0.0001,64,574.3007103704637,740.5443022180687
305,LSTM,30,128,1,0.0,0.0001,64,574.4869660408266,777.125966272699
306,GRU,30,64,2,0.1,0.0003,64,574.634285219254,754.4445952145633
307,LSTM,30,32,2,0.0,0.0003,32,575.3275264616935,757.5043327074426
308,RNN,30,32,2,0.1,0.0003,64,575.6521783644154,724.984852347863
309,LSTM,30,128,2,0.0,0.001,32,575.6744109122984,726.8251170465337
310,LSTM,30,32,1,0.0,0.0003,64,575.9867061491935,755.9374780243976
311,RNN,30,256,2,0.1,0.0001,64,576.0331243699596,741.6436469373499
312,LSTM,30,64,1,0.0,0.0001,32,576.0484973538306,762.6529705428501
