,model_type,seq_len,hidden_size,num_layers,dropout,lr,batch_size,val_mae,val_rmse
412,LSTM,14,128,2,0.0,0.0001,32,625.9284356299867,1169.229655262151
413,LSTM,14,128,2,0.2,0.0003,32,626.0928253823138,1162.3431223029775
414,GRU,30,32,1,0.2,0.0001,32,626.8612257434476,819.0951250493399
415,GRU,14,256,1,0.0,0.0001,32,627.3125363613697,1139.6334877713891
416,RNN,30,32,1,0.0,0.0003,64,628.2751779863911,785.8218561588609
417,GRU,14,128,2,0.2,0.0001,32,629.3223539311836,1175.4445169576677
418,RNN,30,32,2,0.1,0.0001,64,629.568595640121,801.3411869926075
419,LSTM,14,128,2,0.2,0.001,32,629.6963150349069,1164.0814465055141
420,LSTM,30,128,2,0.0,0.0001,64,629.9649382560484,844.2123462099441
421,GRU,14,256,1,0.1,0.0003,32,630.9642827460107,1141.9137112642538
422,LSTM,30,64,2,0.0,0.001,64,631.1070832283266,824.2292402628689
423,GRU,14,64,1,0.0,0.0003,32,631.6803420046542,1148.6775242687534
424,RNN,30,32,1,0.1,0.0001,32,632.0403934601815,801.9971054228356
425,GRU,14,64,2,0.1,0.0003,32,632.1987668301197,1163.401863040273
426,GRU,14,256,2,0.2,0.001,64,632.6486712516622,1169.8520891039254
427,GRU,14,128,1,0.2,0.0003,32,632.6969695395612,1138.5218503672588
428,LSTM,14,128,2,0.1,0.0003,32,632.9751963513962,1156.8976403295328
429,RNN,14,128,2,0.0,0.0003,32,633.0709254488032,1168.561155449377
430,LSTM,30,128,2,0.0,0.0003,64,633.1253622731855,863.4246457969266
431,RNN,14,128,2,0.0,0.001,32,633.6392640458777,1170.6666970458623
432,GRU,14,128,2,0.0,0.001,32,634.090711228391,1135.8054343373929
433,GRU,14,256,1,0.2,0.001,64,634.1759994182181,1157.4894237744588
434,GRU,14,256,1,0.0,0.0003,32,634.2484780169548,1146.8165298338536
435,LSTM,14,64,1,0.1,0.0003,32,634.358154296875,1141.9483541826878
436,GRU,14,128,1,0.1,0.001,32,634.5425376080452,1153.612807018028
437,RNN,30,32,2,0.2,0.0001,64,635.0145303049395,827.0967414879867
438,GRU,14,64,2,0.2,0.0003,32,635.0522408992687,1153.8145649172584
439,GRU,14,128,1,0.2,0.0001,32,635.1363291638962,1148.0058938524126
440,LSTM,30,32,2,0.0,0.0003,64,635.6261892011089,818.9222805707258
441,GRU,14,128,1,0.0,0.001,32,636.1843521442819,1143.9355015158653
442,GRU,14,256,1,0.2,0.0003,32,637.5503137466756,1148.302259844646
443,GRU,14,256,1,0.2,0.0001,32,638.255126953125,1140.9202794013604
444,GRU,14,256,1,0.0,0.001,64,638.5115265541888,1167.9851079169878
445,GRU,14,128,2,0.2,0.001,32,639.5035062749336,1156.529590389915
446,LSTM,14,64,2,0.0,0.0003,32,639.6877960854388,1133.595304774043
447,LSTM,14,128,1,0.2,0.001,32,640.3887290142952,1160.0028326729598
448,GRU,14,256,1,0.1,0.001,64,640.4233346492687,1162.2938625271818
449,LSTM,14,256,1,0.1,0.0003,32,640.5071320229388,1159.3326316579794
450,LSTM,14,128,2,0.0,0.001,32,640.5871633976063,1187.5315938627664
451,LSTM,14,32,1,0.0,0.001,32,641.059679396609,1145.8084023650104
452,LSTM,14,128,2,0.0,0.0003,32,641.3017941738697,1182.8470131518045
453,GRU,14,256,1,0.1,0.0001,32,641.8410800365691,1144.0164939327124
454,RNN,14,64,2,0.1,0.001,32,642.4328509391622,1163.8253370480584
455,LSTM,14,256,1,0.2,0.001,32,642.6249896110372,1142.7433973983202
456,LSTM,14,128,1,0.1,0.0003,32,643.0480697307181,1149.5956110152958
457,GRU,30,32,1,0.1,0.0001,32,643.4439579133065,831.2383652799472
458,LSTM,14,64,1,0.0,0.001,32,644.0254269863697,1158.0096631789766
459,GRU,14,128,2,0.2,0.0003,32,644.1006742436836,1156.037673622607
460,LSTM,14,256,1,0.1,0.001,32,644.4408140791223,1139.9888925466582
461,GRU,14,128,2,0.1,0.001,32,644.6446974734042,1141.7516143878386
462,LSTM,14,256,2,0.2,0.001,32,645.777411278258,1163.2594351008702
463,LSTM,30,64,2,0.1,0.001,64,646.835433467742,878.8862205252009
464,GRU,14,64,1,0.0,0.001,32,647.093370802859,1144.454353504898
465,LSTM,14,64,2,0.2,0.001,32,647.1476479388298,1165.0791936298701
466,GRU,14,128,1,0.0,0.001,64,647.4468137051197,1158.7086511100936
467,GRU,14,256,2,0.0,0.001,64,647.7566385472074,1163.2234442387478
468,LSTM,30,256,2,0.0,0.0001,64,648.2357059601815,864.6735928381934
469,LSTM,30,256,2,0.0,0.0003,64,649.9302072832661,880.3708244796487
470,GRU,14,32,2,0.1,0.001,32,650.3954350897607,1186.6660125123888
471,LSTM,14,128,1,0.1,0.001,32,650.5256763214761,1157.1925529708697
472,RNN,30,32,1,0.2,0.0001,64,650.5589638986895,832.3467783282404
473,GRU,14,64,1,0.1,0.001,64,651.4836841339761,1158.9502216335393
474,LSTM,14,128,1,0.0,0.0003,32,651.9593220162899,1168.3829890111933
475,LSTM,14,256,2,0.0,0.001,32,652.6770746758643,1155.9633003802028
476,RNN,14,64,2,0.0,0.001,32,653.0578197722739,1166.9835941884935
477,LSTM,14,256,1,0.0,0.001,32,653.2936907829122,1140.225161360804
478,GRU,14,128,1,0.1,0.0003,32,653.3476043051862,1152.3980620899542
479,LSTM,30,64,2,0.2,0.0003,64,654.0929466985887,854.6177434533323
480,GRU,14,128,1,0.1,0.0003,64,654.7524362117687,1157.2868698863901
481,GRU,14,256,2,0.1,0.001,64,655.0409896525931,1173.7084901315498
482,LSTM,30,256,2,0.1,0.0001,64,655.2823368195565,892.9102067179858
483,RNN,14,256,2,0.0,0.001,32,655.6235871010638,1162.9620348554654
484,GRU,14,64,1,0.2,0.001,64,655.7634433178191,1149.9595325255525
485,GRU,14,128,2,0.0,0.001,64,656.133191697141,1175.4759919037176
486,RNN,30,32,2,0.0,0.0001,64,656.2610257056451,816.4025787149657
487,GRU,14,128,1,0.1,0.0001,32,656.7862211186836,1157.4032800965063
488,LSTM,30,128,1,0.1,0.0001,64,656.7966072328629,878.768201702806
489,GRU,14,128,1,0.2,0.001,64,657.4798558011968,1169.032343884091
490,GRU,14,64,1,0.0,0.0003,64,657.6102892287234,1169.399354557501
491,GRU,14,64,2,0.0,0.001,32,657.7170825714761,1166.3986653718941
492,LSTM,14,64,2,0.0,0.001,32,658.0518201462766,1172.9500524316218
493,GRU,14,128,1,0.0,0.0003,32,658.4192829537899,1149.4953908641162
494,LSTM,14,64,1,0.1,0.001,32,658.4871852144282,1172.1635616559197
495,LSTM,14,256,2,0.1,0.001,32,658.5964095744681,1156.3569103277014
496,RNN,30,32,1,0.0,0.0001,64,658.7506694178427,838.442853180887
497,GRU,14,32,1,0.0,0.001,32,659.3267224900266,1141.2008523692994
498,LSTM,30,64,2,0.2,0.001,64,660.0615785660282,843.2747925873557
499,GRU,14,64,2,0.2,0.001,32,660.1694024268617,1158.701544280724
500,LSTM,14,64,2,0.2,0.0003,32,660.3803970661569,1180.9539870193355
501,GRU,14,128,2,0.2,0.001,64,660.5032049950133,1173.4866781288436
502,RNN,14,32,1,0.0,0.001,32,660.7049794298538,1163.665529536832
503,GRU,14,64,1,0.1,0.001,32,661.0534356299867,1160.0710440429516
504,LSTM,14,128,1,0.1,0.0001,32,661.2397045378989,1174.4130938022865
505,GRU,14,32,2,0.0,0.001,32,661.3736494348404,1187.229602741443
506,GRU,14,64,1,0.1,0.0003,32,661.76904296875,1157.0783716120839
507,GRU,14,128,1,0.2,0.001,32,661.9167168799867,1164.0331846420945
508,LSTM,14,128,1,0.0,0.001,32,662.6100502825798,1170.5637010745736
509,GRU,14,64,2,0.0,0.0003,32,662.7219809674202,1167.370407822803
510,LSTM,14,128,1,0.2,0.0001,32,663.0053503158244,1187.7206201612867
511,RNN,14,64,2,0.0,0.0003,32,663.3944325548538,1178.391740203553
512,GRU,14,32,2,0.2,0.001,32,663.4023333610372,1162.3056731070635
513,RNN,14,64,2,0.2,0.0003,32,665.1863364361702,1185.8634320494532
514,LSTM,30,32,1,0.2,0.0003,64,665.5046622983871,832.3289767933761
515,GRU,14,64,1,0.2,0.0003,64,666.8519780585107,1169.6884546359506
516,GRU,14,64,2,0.1,0.001,32,667.6953125,1158.0855213837278
517,LSTM,14,128,1,0.2,0.0003,32,667.7857691988032,1176.2898612684226
518,GRU,14,32,1,0.1,0.001,64,667.8565076462766,1175.8697518671734
519,RNN,14,128,2,0.1,0.0003,32,669.4850762549867,1170.026958120738
520,GRU,14,64,1,0.1,0.0003,64,669.653008643617,1166.9829603183439
521,GRU,14,32,1,0.2,0.0003,32,669.8216786486038,1154.2681947618144
522,GRU,14,64,1,0.2,0.001,32,670.287530127992,1180.8076318420715
523,GRU,14,64,1,0.0,0.001,64,671.435411818484,1174.558407759021
524,LSTM,14,32,1,0.1,0.001,32,671.7374657164229,1167.8961113012508
525,GRU,14,64,2,0.2,0.0001,32,671.9879072473404,1181.0715310235898
526,RNN,14,128,1,0.2,0.001,32,672.6448740857712,1185.464701618696
527,LSTM,14,128,1,0.0,0.0001,32,672.9170285488697,1192.608375477396
528,LSTM,14,64,1,0.2,0.001,32,673.0512643367687,1165.4158210822511
529,LSTM,14,32,2,0.2,0.001,32,673.9053669381649,1187.9341366748351
530,RNN,14,32,2,0.2,0.001,32,673.9950132978723,1187.1940515947742
531,GRU,14,32,2,0.2,0.0003,32,674.9898967337101,1197.2536600104584
532,LSTM,30,32,2,0.1,0.0003,64,675.4234343497984,885.709975845781
533,GRU,14,32,1,0.2,0.001,32,675.4411465259309,1162.1799499672231
534,LSTM,14,64,2,0.2,0.0001,32,676.3109728224734,1198.0351175647063
535,GRU,14,32,1,0.0,0.001,64,676.5427349983378,1170.8054717691577
536,GRU,14,32,2,0.0,0.0003,32,677.0439193400931,1170.8549275855505
537,GRU,14,32,2,0.1,0.0003,32,677.9778091755319,1168.9901802160875
538,LSTM,14,64,1,0.2,0.0003,32,678.6083984375,1182.5965791190608
539,LSTM,14,32,2,0.1,0.0003,32,680.4928627825798,1205.928190873838
540,LSTM,14,32,2,0.2,0.0003,32,681.0228661070479,1188.015153738426
541,GRU,14,32,2,0.0,0.001,64,681.7227289727393,1175.8483054489247
542,RNN,14,256,2,0.1,0.001,32,681.941582862367,1164.1361171948195
543,GRU,14,256,1,0.2,0.0003,64,682.473523728391,1176.9651202554155
544,LSTM,14,64,1,0.0,0.001,64,683.1124916888298,1195.5865006086235
545,LSTM,30,32,2,0.2,0.0001,32,683.3772208921371,852.8495758691898
546,RNN,14,64,2,0.2,0.001,32,683.4162389876994,1166.444083860604
547,LSTM,14,32,2,0.1,0.001,32,683.4363779920212,1201.0982601954486
548,LSTM,14,64,1,0.0,0.0003,32,683.5594664228723,1211.4868175222305
549,GRU,14,64,1,0.2,0.0003,32,683.6288958610372,1170.155159470487
550,GRU,14,256,1,0.0,0.0003,64,684.1977850731383,1173.7773071845106
551,GRU,14,32,1,0.2,0.001,64,684.3516767785904,1183.7749637229558
552,GRU,14,64,2,0.0,0.0001,32,684.7818213929521,1181.2138446752801
553,RNN,14,256,2,0.2,0.001,32,684.814806349734,1153.887272784985
554,GRU,14,32,1,0.0,0.0003,32,684.8408566738697,1176.537078233602
555,GRU,14,256,1,0.1,0.0001,64,685.168768700133,1173.1224183867446
556,LSTM,14,256,2,0.1,0.001,64,685.4192777593086,1202.4716963330977
557,GRU,14,128,2,0.1,0.001,64,686.0269437749336,1185.3980460291345
558,GRU,14,128,2,0.2,0.0003,64,686.2167760970744,1179.7427084687104
559,RNN,14,256,2,0.0,0.001,64,686.5178794049202,1166.877914169506
560,GRU,14,256,1,0.1,0.0003,64,686.6076452376994,1177.2492730343506
561,LSTM,14,128,1,0.2,0.001,64,687.012560255984,1176.2294587612798
562,LSTM,14,64,2,0.1,0.0003,32,687.146593459109,1217.968858471802
563,LSTM,14,32,1,0.2,0.001,32,687.6487647523271,1213.9473554019357
564,RNN,14,128,2,0.2,0.001,64,687.8353557180851,1177.0616814929404
565,LSTM,14,32,1,0.1,0.0003,32,688.119982130984,1177.1096649287267
566,GRU,14,128,1,0.1,0.001,64,688.4143222240691,1176.4046800172546
567,GRU,14,256,1,0.0,0.0001,64,688.5406727892288,1172.376663225573
568,RNN,14,256,2,0.1,0.0003,64,688.651990525266,1176.3820239517324
569,LSTM,14,256,1,0.1,0.001,64,689.6059154753989,1189.3154343708948
570,GRU,14,128,1,0.2,0.0003,64,689.6515905501994,1177.8979442121693
571,GRU,30,32,1,0.0,0.0001,32,690.121345766129,883.7632613496324
572,GRU,14,32,2,0.1,0.001,64,690.213446434508,1181.0296588353135
573,GRU,14,256,1,0.2,0.0001,64,690.3640188663563,1169.4422354595379
574,GRU,14,64,2,0.1,0.0001,32,691.2956023520612,1191.1201849258152
575,GRU,14,32,1,0.1,0.001,32,692.3659616023937,1171.8477349817956
576,GRU,14,32,2,0.2,0.001,64,693.0213960688164,1177.7074633542836
577,GRU,14,64,2,0.1,0.0003,64,693.9698304521277,1179.1809189792766
578,LSTM,14,256,1,0.2,0.001,64,694.1404535821143,1191.6670182186037
579,RNN,14,64,1,0.1,0.0003,32,694.4366740774601,1195.646212102287
580,GRU,14,32,2,0.0,0.0003,64,694.7204278174867,1182.38311850546
581,GRU,14,128,1,0.0,0.0001,64,695.1066998420878,1179.0339707406988
582,LSTM,14,32,1,0.1,0.001,64,695.3670160821143,1175.7368610882677
583,LSTM,14,128,2,0.1,0.0001,32,695.6012975814494,1205.075147565562
584,GRU,14,256,2,0.1,0.0003,64,695.6680103058511,1174.3184069124875
585,GRU,14,64,1,0.1,0.0001,32,696.9144624750664,1191.653859291325
586,LSTM,14,256,2,0.0,0.001,64,696.958875290891,1203.5063899320473
587,LSTM,14,256,2,0.2,0.001,64,697.4675760472074,1202.1793944558806
588,RNN,14,32,1,0.2,0.001,32,697.5111058011968,1202.1465002059365
589,LSTM,30,128,2,0.1,0.0003,64,697.7828959803427,923.6198104235668
590,LSTM,14,128,1,0.0,0.001,64,698.0369847074468,1184.1529660034255
591,RNN,14,256,1,0.0,0.001,32,699.0850596326462,1180.54472746402
592,LSTM,14,32,1,0.2,0.0003,32,699.517754737367,1180.2148945187755
593,RNN,14,32,2,0.2,0.0003,32,699.7474858710107,1201.038958637075
594,GRU,14,256,2,0.2,0.0003,64,700.6014638048538,1186.687919494864
595,LSTM,14,32,1,0.2,0.001,64,700.9103588347739,1217.0099589736944
596,LSTM,30,32,2,0.1,0.001,64,701.3032620337701,919.6858908113888
597,LSTM,30,256,2,0.1,0.0003,64,701.5311633694556,946.7751142505623
598,RNN,14,128,2,0.0,0.001,64,701.5607442652926,1186.6476426404706
599,GRU,14,128,1,0.0,0.0003,64,702.7406603224734,1185.830024097781
600,RNN,14,256,1,0.2,0.001,32,702.7412576878324,1215.151064362656
601,RNN,14,32,1,0.2,0.0003,32,703.599053565492,1219.5610070246828
602,LSTM,14,256,1,0.0,0.001,64,704.1331865026596,1198.490195676691
603,GRU,14,128,2,0.0,0.0003,64,706.1522710272607,1183.9859017672552
604,LSTM,14,256,1,0.2,0.0003,64,706.6087620511968,1191.8709593265644
605,RNN,14,256,2,0.0,0.0003,64,706.6711062167553,1179.418153617831
606,LSTM,14,32,1,0.0,0.001,64,706.7908649850399,1202.6156591564331
607,GRU,14,256,2,0.0,0.0003,64,707.6455130069813,1186.9303296922178
608,RNN,14,256,2,0.1,0.0003,32,707.6891050947473,1203.3801720450338
609,LSTM,14,256,1,0.1,0.0003,64,708.8066873753324,1192.3477079739264
610,LSTM,14,32,2,0.0,0.001,32,708.8530844830452,1196.5884537855316
611,GRU,14,128,2,0.1,0.0001,64,708.8677017536569,1177.1726071923965
612,RNN,14,256,1,0.2,0.0003,64,709.5340498254654,1190.2834814233279
613,GRU,14,64,2,0.2,0.0003,64,710.1591744930187,1191.2701948075983
614,GRU,14,64,2,0.0,0.001,64,710.7704454787234,1194.3739739806051
615,LSTM,14,64,1,0.2,0.0003,64,711.0411714594414,1202.3176811977337
616,GRU,14,256,2,0.1,0.0001,64,711.2594643450798,1189.1667647593813
617,LSTM,14,64,1,0.2,0.001,64,712.4717108543883,1200.330986705349
618,GRU,14,128,1,0.1,0.0001,64,712.5234530834441,1184.290367797562
619,GRU,14,64,1,0.0,0.0001,32,714.0660322473404,1197.4454647389666
620,RNN,14,32,2,0.0,0.0003,64,716.7407018783244,1201.5473773077358
621,LSTM,14,128,1,0.1,0.001,64,717.0058645694813,1198.2710577965775
622,LSTM,14,256,1,0.0,0.0003,64,717.1034117353723,1199.8772110542861
623,GRU,14,256,2,0.2,0.0001,64,717.5611598238032,1200.2919118730495
624,GRU,14,32,1,0.1,0.0003,64,719.2814785571809,1180.252203712503
625,GRU,14,64,2,0.2,0.001,64,719.9643087184176,1188.1614548796665
626,GRU,14,64,2,0.0,0.0003,64,720.5841038480718,1201.206078361481
627,GRU,14,32,1,0.1,0.0003,32,720.8132739777261,1191.9504396504933
628,LSTM,14,64,2,0.2,0.001,64,721.1259765625,1201.255411465685
629,LSTM,14,64,2,0.1,0.0001,32,721.6775265957447,1192.0520965865937
630,GRU,14,64,1,0.2,0.0001,32,721.9641996343086,1205.5284027399284
631,RNN,14,256,2,0.2,0.0003,64,722.4292719414893,1185.3038320074998
632,LSTM,30,128,2,0.2,0.0001,64,722.8563114289315,947.5819454753438
633,GRU,30,32,1,0.2,0.0001,64,722.9108492943549,885.8998441094618
634,RNN,14,256,2,0.2,0.001,64,723.1474505485372,1190.6219981541292
635,LSTM,14,256,1,0.2,0.0001,64,724.0155626662234,1191.6060532741055
636,LSTM,14,32,2,0.0,0.0003,32,724.7961114112367,1235.1412878025903
637,RNN,14,64,1,0.1,0.001,32,725.110284034242,1207.259304199569
638,RNN,14,64,2,0.1,0.0001,32,725.1414717004654,1210.2471217333994
639,GRU,14,256,2,0.0,0.0001,64,725.677869431516,1187.4412646021885
640,LSTM,14,128,2,0.0,0.001,64,725.9508290392288,1228.5595441482537
641,RNN,14,128,1,0.0,0.001,64,726.2307025016622,1201.7232956342045
642,GRU,14,128,2,0.0,0.0001,64,726.4873566323138,1207.0648654120996
643,GRU,14,128,2,0.2,0.0001,64,726.5748472822473,1203.943687636533
644,RNN,14,256,2,0.0,0.0003,32,726.7712662067819,1218.7325588042634
645,LSTM,14,64,1,0.0,0.0001,32,727.6654286486038,1196.4149579139196
646,RNN,14,32,2,0.0,0.001,32,727.7179708277926,1212.8337659127783
647,LSTM,30,32,1,0.0,0.0001,32,728.1771830897177,903.1439103741516
648,RNN,14,256,2,0.0,0.0001,64,728.3638890043218,1186.177181099659
649,RNN,14,256,1,0.1,0.0003,32,728.5484800947473,1192.1011040618146
650,RNN,14,256,1,0.0,0.0003,64,728.6408327792553,1200.2843609904587
651,LSTM,14,64,1,0.1,0.001,64,729.0172560671542,1184.2630929924298
652,RNN,14,64,2,0.0,0.0001,32,729.6971773188164,1207.0190878570781
653,GRU,14,32,1,0.0,0.0003,64,730.8646889544548,1192.8833058189007
654,GRU,14,128,2,0.1,0.0003,64,731.692980177859,1190.3793235475812
655,RNN,14,256,2,0.2,0.0001,64,731.9850762549867,1175.4853630890475
656,RNN,14,256,2,0.1,0.0001,64,733.3143388464096,1198.8165424444085
657,GRU,14,128,1,0.2,0.0001,64,733.9356975149601,1190.8833294258175
658,LSTM,14,32,1,0.0,0.0003,32,734.4341703374336,1255.3881376667434
659,GRU,14,64,2,0.1,0.001,64,734.8137622589761,1206.1148100975763
660,LSTM,14,32,1,0.2,0.0003,64,735.2960594664229,1197.9487813705655
661,RNN,14,32,1,0.0,0.0003,32,736.6718646110372,1204.7346974727595
662,LSTM,14,32,1,0.1,0.0003,64,737.5109915226063,1223.4144978572083
663,RNN,14,64,2,0.2,0.0001,32,738.4265032829122,1207.6736661163275
664,LSTM,14,128,1,0.0,0.0003,64,740.0998483211437,1206.4268381610107
665,RNN,14,128,2,0.2,0.001,32,741.2807149684176,1228.3607324905058
666,RNN,14,128,1,0.1,0.001,32,741.5150068567154,1213.7160730034386
667,RNN,14,64,2,0.0,0.0003,64,742.0983367270612,1203.3401530444105
668,RNN,14,128,1,0.1,0.001,64,744.2696507230718,1209.2135865677449
669,RNN,14,128,1,0.2,0.001,64,745.423937209109,1207.6928408214644
670,RNN,14,256,1,0.1,0.001,32,745.4320406000664,1219.4637053568918
671,GRU,14,32,1,0.2,0.0003,64,746.8113624085771,1219.13076257755
672,LSTM,14,32,1,0.0,0.0003,64,747.4532808344414,1194.3013001566655
673,LSTM,14,128,2,0.1,0.001,64,747.8788958610372,1217.6241517145063
674,RNN,14,128,1,0.1,0.0003,64,748.3336155668218,1183.451952610292
675,RNN,14,256,1,0.0,0.0003,32,748.730333693484,1206.0009844368328
676,RNN,14,128,2,0.1,0.001,64,749.4965976146941,1204.041200259799
677,LSTM,14,256,1,0.1,0.0001,64,750.3147128490691,1206.1884228866395
678,LSTM,14,128,2,0.2,0.001,64,750.3550791638962,1231.9642165131183
679,LSTM,30,32,2,0.2,0.0003,64,751.1722845262096,965.6096006999585
680,RNN,14,256,1,0.2,0.0001,64,752.5614922706117,1214.453871192677
681,RNN,14,128,2,0.1,0.0003,64,753.4422685339096,1203.6301073846553
682,LSTM,14,128,1,0.0,0.0001,64,753.7885638297872,1197.770151191234
683,LSTM,14,64,1,0.2,0.0001,32,754.3826618600399,1226.8860217491833
684,RNN,14,256,1,0.1,0.001,64,754.5134589012633,1212.9651623980105
685,RNN,14,32,1,0.1,0.0003,32,754.5262165475399,1229.4283483127476
686,LSTM,14,64,1,0.1,0.0003,64,755.2413044381649,1197.8535519194384
687,RNN,14,32,2,0.0,0.0003,32,755.2732868600399,1222.4155918658266
688,LSTM,14,64,2,0.0,0.0001,32,756.4095484956782,1257.4328754562455
689,RNN,14,256,2,0.0,0.0001,32,756.6558500249336,1204.5010923050138
690,GRU,14,32,2,0.2,0.0003,64,756.7979502576462,1218.1828321614212
691,GRU,14,32,2,0.0,0.0001,32,757.5745200299202,1232.6978601436247
692,RNN,14,32,1,0.1,0.001,64,757.7413511884973,1212.290221428482
693,RNN,14,32,1,0.0,0.0003,64,758.1667532413563,1200.9560009463544
694,RNN,14,128,2,0.2,0.0003,64,759.3528663148271,1196.3604695233798
695,RNN,14,256,1,0.0,0.001,64,759.492052443484,1222.4675627146437
696,RNN,14,64,2,0.2,0.001,64,759.6118527676197,1225.498378731436
697,RNN,14,256,1,0.1,0.0001,64,760.4004373753324,1213.3265844768791
698,RNN,14,256,1,0.1,0.0003,64,761.1986265791223,1216.5576801345862
699,RNN,14,64,2,0.1,0.001,64,761.2505246426197,1191.0321785563615
700,RNN,14,64,1,0.2,0.001,32,761.7510181183511,1229.224919288805
701,RNN,14,256,2,0.2,0.0003,32,762.0312344165559,1221.1053566258893
702,GRU,14,32,2,0.1,0.0003,64,762.4211166057181,1219.031785239292
703,LSTM,14,64,2,0.0,0.0003,64,762.7716454039229,1222.2270597005315
704,RNN,14,128,1,0.2,0.0003,64,762.8476146941489,1217.2165438664917
705,RNN,14,64,2,0.2,0.0001,64,763.1727892287234,1213.7685327869349
706,LSTM,14,128,1,0.1,0.0003,64,763.3457187084441,1206.630240316445
707,GRU,14,64,2,0.2,0.0001,64,763.675469581117,1224.59361666863
708,RNN,14,256,2,0.1,0.001,64,763.8236161901596,1209.7633768451465
709,GRU,14,64,2,0.1,0.0001,64,764.6029909823803,1216.86531016838
710,LSTM,14,64,1,0.0,0.0003,64,765.0644063746676,1209.21438264795
711,RNN,14,64,1,0.0,0.0001,32,765.4450216090426,1231.7870001398544
712,RNN,14,128,1,0.0,0.001,32,765.6657299285239,1236.9928086928396
713,RNN,14,128,1,0.1,0.0001,64,765.9780896775266,1216.3503639544638
714,RNN,14,32,2,0.2,0.001,64,766.7677443484042,1231.5596264650123
715,RNN,14,256,1,0.2,0.0001,32,766.769775390625,1219.4431742862107
716,RNN,14,256,2,0.1,0.0001,32,767.5405688996011,1219.2306645127378
717,RNN,14,128,1,0.0,0.0003,64,767.7074779753989,1203.0788181243795
718,LSTM,14,64,1,0.1,0.0001,32,768.0662867769282,1219.6813707594697
719,LSTM,14,128,1,0.2,0.0003,64,769.8251797290559,1217.590395602148
720,GRU,30,32,2,0.1,0.0001,64,770.343734248992,932.5951410891862
721,RNN,14,256,1,0.0,0.0001,64,771.6604938912899,1219.6819069353978
722,RNN,14,32,1,0.1,0.001,32,772.0227674119016,1232.458014847006
723,RNN,14,32,1,0.0,0.001,64,772.6095204454788,1217.243713833042
724,GRU,14,32,2,0.1,0.0001,32,772.7147450548538,1242.3960397075655
725,RNN,14,256,2,0.2,0.0001,32,772.9711186835107,1228.2021803484838
726,RNN,14,128,2,0.2,0.0003,32,774.7343698055187,1211.649102338903
727,GRU,30,32,1,0.1,0.0001,64,775.6371519027218,919.5831824268087
728,LSTM,14,32,2,0.1,0.0003,64,775.6798952792553,1229.8771214399333
729,LSTM,14,256,2,0.0,0.0003,64,775.972277052859,1247.8465880694935
730,RNN,14,128,2,0.0,0.0001,64,776.4656229222074,1206.7852819673033
731,RNN,14,64,2,0.2,0.0003,64,777.313720703125,1224.7683503266276
732,RNN,14,128,2,0.2,0.0001,64,777.6494348404256,1226.5789884256658
733,RNN,14,256,1,0.1,0.0001,32,778.0082644198803,1228.7830622090553
734,RNN,14,256,1,0.2,0.0003,32,778.176648728391,1227.6664386901937
735,GRU,14,64,2,0.0,0.0001,64,779.9929718666888,1228.9365109553153
736,RNN,14,128,2,0.1,0.0001,64,780.0182534075798,1238.096530652029
737,RNN,14,128,1,0.1,0.0003,32,780.7717129321809,1235.4526279623078
738,LSTM,14,32,2,0.0,0.001,64,780.9148156998006,1227.4577196197743
739,RNN,14,128,2,0.0,0.0003,64,781.6396899933511,1232.3869111344864
740,RNN,14,128,1,0.0,0.0001,64,781.8807450964096,1201.3300978414788
741,GRU,30,32,2,0.2,0.0001,64,782.5621062247984,942.8018673233045
742,RNN,14,32,2,0.2,0.0003,64,782.9045150432181,1212.2777438134738
743,RNN,14,64,1,0.1,0.001,64,782.9398686835107,1212.1857316416124
744,RNN,14,128,2,0.2,0.0001,32,783.735948927859,1234.116353186951
745,RNN,14,256,1,0.2,0.001,64,784.0639388713431,1208.8555424116416
746,RNN,14,32,2,0.0,0.001,64,784.2717544880319,1203.2724473814776
747,LSTM,14,256,1,0.0,0.0001,64,786.2992696559176,1222.8745686176776
748,RNN,14,128,2,0.1,0.0001,32,786.8610891788563,1227.656414032111
749,RNN,14,32,1,0.0,0.0001,32,787.0593313663563,1274.9381129892786
750,RNN,14,64,1,0.0,0.001,64,787.070135887633,1212.6332184888304
751,LSTM,30,32,2,0.0,0.0001,32,787.4375787550404,926.5633817268575
752,RNN,14,256,1,0.0,0.0001,32,787.5563185671542,1218.3765679188991
753,RNN,14,32,1,0.1,0.0003,64,788.7047145113032,1225.4818349042075
754,RNN,14,32,2,0.1,0.0003,32,789.6742696559176,1228.0271665105724
755,RNN,14,128,2,0.0,0.0001,32,791.5415506565824,1237.7681248741749
756,RNN,14,64,1,0.2,0.0003,32,791.6652935920878,1249.280093559167
757,LSTM,14,128,1,0.2,0.0001,64,792.110174950133,1218.8450778124559
758,RNN,14,64,1,0.2,0.0003,64,792.9157247340426,1253.40309202381
759,RNN,14,64,2,0.1,0.0003,64,793.4827179604388,1226.4444245137888
760,RNN,14,64,2,0.0,0.001,64,793.7493091339761,1210.7383513260806
761,RNN,14,64,1,0.0,0.0003,64,794.2832187084441,1218.6277378667853
762,LSTM,14,128,2,0.1,0.0003,64,794.4574571974734,1261.7848402084146
763,RNN,14,32,2,0.2,0.0001,32,794.5856621924867,1244.2184129152458
764,LSTM,30,64,2,0.0,0.0001,64,795.0004174017137,946.6373692306905
